Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
cat_tei_MRT5816_R1										69.75257299878011	12.832326769571619	3.1552803743169524	0.9426967032096849	0.9978214386010237	0.4722246118495025	0.0
cat_uba_PEU558_R1										63.20079535785046	21.843032622095684	4.0725220060523055	0.8264348161484306	1.5076437986389841	0.24887231970805315	0.0
cat_una_RPD297_R1										63.847979624168495	21.636359558444546	3.655560157778675	0.8477043368246817	1.3529651254530788	0.3451214633349708	0.0
cat_una_RPD305_R1										72.5592983416996	9.975302736615403	2.9479175689530686	1.0823113276617073	0.8387031428362222	0.3135294920957042	0.0
cat_val_PEU158_R1										65.69677455669716	19.62406883245629	3.7623360683995224	0.9235197207083733	1.4567789829429754	0.292396718668477	0.0
cat_val_PEU196_R1										63.13495622424442	21.858308417463974	4.3379752120882165	1.065122679374366	1.4263049066046494	0.231735665500185	0.0
cat_wgu_MTR22253_R1										67.9844468566476	15.2829175553409	3.8105205028100033	0.9627433781349806	1.5900519297269549	0.44158811448676594	0.0
cat_wgu_MTR22254_R1										66.16482629901981	15.076745589833404	3.5086945512850654	0.753264619510155	2.1511481680135227	1.9379178816692684	0.7421308318217326
ihe_apia_CTMZ11219_R1										44.0194560304796	31.68180551034388	9.675721571620482	1.3370740564612775	2.9988938751278975	0.0	1.3889033271077131
ihe_biri_3519_R1										28.310185198294178	40.37362191627324	19.888767529127787	1.4369659761733358	3.1984366763467094	0.6931768009064222	1.680128632016812
ihe_biri_MRT9424_R1										41.24922739928785	35.45191374285716	11.778671822544595	1.2559820373516222	3.2103531035178783	0.18686412867045418	1.9012267565474965
ihe_biri_MRT9425_R1										40.01057225224396	36.57678274042608	12.372851055233681	1.3828762362249973	3.1439174744137195	0.1683018818813299	1.5703667304554292
ihe_camp_MTR11763_R1										31.99993402780216	37.60584741704795	16.922530123206034	1.3588372098787098	3.334275418562339	0.3150858808910978	1.5500253118232858
ihe_cana_3436_R1										43.48265728499395	32.32988900600953	10.016300891032396	1.2791857875106143	2.5042502183264825	0.6143298971558785	0.862028169859344
ihe_cana_3437_R1										27.890698876507926	38.93387125955169	20.76189784685976	1.4075855812551856	2.915917292264415	0.6365566838115513	1.4745850498988065
ihe_cana_3533_R1										38.07402205188566	35.24797101067043	12.512290137901186	1.2835631518948287	2.807667757977039	0.6482708559294758	0.8126385678801702
ihe_cana_3543_R1										27.875435469833025	39.0802187967791	20.260155808260276	1.258462069133178	2.827500460407344	1.2547155692910386	1.165565902592858
